q01,q02,q03,q04,q05,q06,q06a,q07,q07a,q07b,q08,q09,q10,q11,q12,q13,q14
b,b,a,e,d,c,c,a,a,b,b,b,k,b,f,d,f
b,b,b,e,g,d,d,b,NA,NA,b,a,m,b,e,c,e
b,b,b,c,e,d,c,b,NA,NA,a,b,f,b,e,c,d
b,b,b,c,a,c,a,a,b,NA,a,b,b,a,d,c,b
b,b,b,a,a,d,c,a,c,c,a,b,f,b,c,d,f
b,b,b,d,f,c,b,a,b,a,a,a,j,b,e,b,f
b,b,b,d,f,b,b,a,c,a,a,a,j,b,e,d,f
b,b,b,d,e,d,NA,a,d,a,a,a,m,b,e,d,b
b,b,b,a,f,d,NA,a,d,a,b,a,f,b,d,d,b
b,b,b,e,g,d,b,b,NA,NA,b,a,k,b,b,b,b
b,b,b,a,a,d,b,b,NA,NA,a,b,f,b,c,c,f
b,b,b,e,a,b,a,a,a,a,a,b,f,b,b,a,g
b,b,b,e,a,d,c,a,c,a,a,b,NA,b,e,d,a
b,b,b,e,e,c,b,b,NA,NA,b,a,f,b,e,a,f
b,b,b,a,d,d,c,a,d,d,a,a,m,b,e,b,a
b,b,b,e,g,d,NA,a,d,a,b,a,f,b,e,a,e
b,b,b,a,d,d,c,a,d,d,a,a,m,b,e,b,a
b,b,b,e,e,c,b,b,NA,NA,b,a,f,b,e,a,f
b,b,b,a,i,d,NA,a,d,c,a,b,j,a,f,a,b
b,b,b,d,f,d,NA,b,NA,NA,a,a,m,b,e,a,c
b,b,b,a,d,d,NA,a,c,d,a,a,j,b,b,b,e
b,b,b,b,d,d,b,b,NA,NA,b,a,f,b,e,d,e
b,b,b,b,d,d,NA,b,NA,NA,b,a,f,b,e,c,b
b,b,b,e,d,d,c,b,d,d,a,a,b,a,d,c,f
b,b,b,e,g,d,NA,b,NA,NA,a,b,j,a,c,d,b
b,b,b,a,g,d,NA,b,NA,NA,b,a,n,a,d,c,f
b,b,b,e,f,d,c,a,d,a,a,a,q,b,d,c,e
b,b,b,e,f,d,NA,b,NA,NA,b,a,b,b,e,d,b
b,b,b,d,e,d,NA,a,a,d,a,b,j,b,e,a,d
b,b,b,b,e,d,a,a,d,c,b,a,f,a,e,b,f
b,b,b,d,b,d,b,b,NA,NA,a,a,k,b,b,b,c
b,b,b,c,d,d,c,b,NA,NA,a,a,f,a,c,b,f
b,b,b,c,i,d,d,b,NA,NA,a,a,i,NA,d,b,c
b,b,b,b,d,d,b,a,d,b,a,a,b,a,f,b,b
b,b,b,c,e,b,b,b,NA,NA,a,a,k,a,d,b,c
b,b,b,e,e,d,b,b,NA,NA,b,b,f,b,c,d,g
b,b,b,b,d,b,b,b,NA,NA,b,a,f,a,c,a,b
b,b,b,d,d,d,b,a,d,a,b,a,f,b,d,a,b
b,b,b,a,a,d,a,a,d,b,a,b,t,b,e,c,d
b,b,b,b,d,d,NA,a,d,c,a,a,b,a,f,b,b
b,b,b,b,d,d,NA,a,d,a,a,a,b,a,f,b,b
b,b,b,a,d,a,b,a,c,c,a,a,f,a,c,d,d
b,b,b,a,a,d,a,a,d,c,a,a,f,a,c,c,c
b,b,b,a,a,d,c,a,b,a,a,b,b,a,e,b,b
b,b,b,b,a,c,c,a,c,a,b,b,k,b,d,b,a
b,b,b,d,b,c,c,b,NA,NA,b,a,f,b,e,b,c
b,b,b,e,d,d,b,b,NA,NA,b,a,f,a,c,b,a
b,b,b,e,a,d,NA,a,a,d,a,b,d,b,e,d,e
b,b,b,e,d,d,c,a,d,a,b,a,b,a,e,a,c
b,b,b,e,i,d,a,b,NA,NA,a,b,f,b,d,b,b
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,b,c,d,c,c,a,b,b,a,a,k,a,c,c,d
b,b,NA,b,a,d,NA,a,d,d,a,a,f,b,a,d,e
b,b,NA,a,e,d,NA,b,NA,NA,a,b,m,b,d,d,c
b,c,a,e,g,d,a,b,NA,NA,b,a,j,b,c,a,c
b,c,a,e,g,d,NA,a,d,d,a,b,j,b,e,d,f
b,c,a,e,e,d,c,a,d,a,b,a,k,b,e,c,f
b,c,a,a,d,d,d,b,NA,NA,b,a,c,a,e,d,b
b,c,a,a,d,d,d,b,NA,NA,b,a,f,b,b,c,b
b,c,a,d,g,b,c,a,c,b,a,a,j,b,b,a,e
b,c,a,d,g,c,d,a,c,a,b,a,b,b,c,b,g
b,c,a,a,a,d,NA,b,NA,NA,a,a,f,b,c,c,d
b,c,a,a,a,d,b,a,d,c,b,a,f,a,e,c,b
b,c,a,a,h,d,d,a,c,a,a,b,f,b,c,b,g
b,c,a,a,a,d,b,b,NA,NA,b,a,j,b,c,b,e
b,c,a,d,g,d,NA,b,NA,NA,a,b,j,b,c,b,b
b,c,a,b,h,d,NA,b,NA,NA,a,a,f,b,c,c,a
b,c,a,a,a,d,NA,a,b,d,a,a,t,a,d,d,f
b,c,a,a,c,d,d,a,b,d,a,a,m,a,c,b,a
b,c,a,d,c,d,d,a,b,d,a,a,m,a,c,b,a
b,c,a,a,a,d,NA,a,b,d,a,a,t,a,d,d,f
b,c,a,d,g,d,NA,b,NA,NA,a,b,j,b,c,b,b
b,c,a,b,h,d,NA,b,NA,NA,a,a,f,b,c,c,a
b,c,a,b,h,d,NA,b,NA,NA,a,a,f,b,c,c,a
b,c,a,d,h,d,NA,a,c,d,a,a,NA,b,c,a,g
b,c,a,a,c,d,d,a,b,d,a,a,m,a,c,b,a
b,c,a,b,f,d,NA,b,NA,NA,b,a,NA,b,d,c,f
b,c,a,a,c,d,NA,a,d,d,a,a,c,a,b,d,b
b,c,a,d,d,d,NA,a,c,d,b,a,f,b,c,b,b
b,c,a,d,c,d,NA,a,c,d,a,a,f,b,e,b,b
b,c,a,d,a,d,NA,a,d,d,b,a,f,b,d,b,b
b,c,a,d,d,d,b,b,NA,NA,a,a,f,b,d,c,f
b,c,a,a,d,d,NA,a,c,a,a,b,f,b,e,c,a
b,c,a,d,a,d,d,b,NA,NA,a,a,m,b,e,b,a
b,c,a,a,g,a,d,a,c,a,a,a,f,b,e,c,d
b,c,a,d,g,d,NA,a,c,d,a,b,m,b,e,c,d
b,c,a,d,g,d,NA,a,d,a,b,a,n,b,e,c,d
b,c,a,e,e,d,NA,a,d,d,b,a,j,b,d,c,b
b,c,a,b,e,d,NA,a,c,a,a,a,f,b,d,a,g
b,c,a,d,g,d,NA,a,d,d,a,a,j,b,e,c,e
b,c,a,d,e,d,NA,a,b,d,a,a,k,b,d,b,d
b,c,a,d,c,d,c,b,NA,NA,a,a,f,a,d,b,a
b,c,a,b,e,c,b,b,NA,NA,a,a,NA,b,e,b,b
b,c,a,e,a,d,NA,b,NA,NA,a,a,m,b,d,c,e
b,c,a,d,b,a,b,a,a,d,b,a,j,a,e,d,g
b,c,a,e,e,d,c,a,d,a,b,a,k,b,e,c,f
b,c,a,a,a,d,a,a,a,d,a,b,f,b,e,c,f
b,c,a,b,d,d,d,NA,b,NA,NA,a,t,a,c,b,a
b,c,a,e,g,a,b,b,NA,NA,a,a,n,a,b,b,c
b,c,a,a,c,d,d,a,b,d,a,a,m,a,c,b,a
b,c,a,b,f,d,NA,a,c,a,a,NA,b,b,d,c,f
b,c,a,d,h,d,NA,a,d,d,a,a,f,b,c,c,c
b,c,a,e,g,a,b,a,c,d,a,a,t,b,e,d,d
b,c,a,b,g,d,b,b,NA,NA,a,b,j,a,b,c,d
b,c,a,e,g,d,a,a,c,d,b,a,t,b,NA,c,d
b,c,a,e,e,d,b,a,b,a,a,a,f,a,e,a,f
b,c,a,c,f,d,b,a,a,a,a,a,j,NA,e,a,a
b,c,a,a,g,d,c,b,NA,NA,a,a,j,b,d,c,f
b,c,a,a,g,c,c,b,NA,NA,a,a,i,b,d,c,f
b,c,a,e,f,d,c,b,NA,NA,b,a,m,a,e,b,f
b,c,a,d,g,d,d,a,d,a,a,b,k,a,b,b,e
b,c,a,e,g,d,a,a,c,d,b,a,t,b,c,d,f
b,c,a,e,g,d,a,a,c,d,b,a,t,b,c,d,c
b,c,a,e,g,c,c,a,a,a,b,a,j,a,d,c,d
b,c,a,a,b,d,b,b,NA,NA,b,a,f,b,e,c,e
b,c,a,a,i,d,d,b,NA,NA,b,a,m,a,c,a,b
b,c,a,a,a,d,c,b,NA,NA,a,b,b,a,e,c,b
b,c,a,b,g,d,b,b,NA,NA,b,b,k,b,c,d,b
b,c,a,d,g,a,b,a,a,c,b,a,m,b,e,b,e
b,c,a,d,c,b,b,b,NA,NA,a,b,f,b,e,b,a
b,c,a,d,c,a,c,a,a,c,a,b,b,a,e,b,d
b,c,a,d,g,a,b,a,b,a,b,a,f,a,d,d,f
b,c,a,a,g,d,NA,b,NA,NA,b,a,f,b,e,d,a
b,c,a,a,g,d,d,a,b,c,a,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,NA,a,d,b
b,c,a,a,g,d,d,a,b,c,a,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,b,a,d,b
b,c,a,a,g,d,d,a,b,c,a,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,NA,a,d,b
b,c,a,a,g,d,d,a,b,c,a,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,b,a,d,b
b,c,a,a,g,d,d,a,b,c,a,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,NA,a,d,b
b,c,a,a,g,d,d,a,b,c,a,b,d,b,e,c,g
b,c,a,a,e,d,d,a,b,c,NA,b,f,b,e,c,g
b,c,a,e,c,c,c,a,c,b,a,a,i,b,a,d,b
b,c,b,e,g,d,NA,a,d,a,b,a,j,a,e,c,g
b,c,b,d,c,b,d,a,b,a,b,a,NA,b,d,d,e
b,c,b,a,a,c,d,a,d,a,a,a,j,a,c,b,e
b,c,b,e,d,b,b,a,c,a,b,a,f,b,c,c,b
b,c,b,a,d,b,b,a,d,a,b,a,f,b,c,c,b
b,c,b,c,h,d,NA,a,d,a,a,a,f,b,d,c,a
b,c,b,d,e,b,b,a,b,a,a,a,j,b,d,b,a
b,c,b,d,h,d,NA,a,c,d,a,a,NA,b,c,a,g
b,c,b,c,e,d,c,b,NA,NA,a,a,i,a,b,b,d
b,c,b,d,f,d,NA,b,NA,NA,a,a,m,a,d,b,f
b,c,b,d,c,d,NA,b,NA,NA,a,a,m,a,d,b,d
b,c,b,d,d,d,NA,b,NA,NA,a,a,m,b,e,a,f
b,c,b,d,f,d,NA,a,c,a,a,b,NA,a,c,d,d
b,c,b,a,f,d,NA,a,d,c,b,a,m,b,e,b,c
b,c,b,d,h,c,b,b,NA,NA,a,b,b,a,b,b,d
b,c,b,a,e,d,d,a,c,d,a,a,m,b,e,c,e
b,c,b,e,g,d,NA,b,NA,NA,a,b,j,b,e,d,b
b,c,b,e,e,d,d,a,d,d,a,b,t,a,d,c,d
b,c,b,e,f,d,c,a,d,d,a,a,f,b,d,c,a
b,c,b,e,e,d,NA,a,d,d,b,a,f,a,c,b,b
b,c,b,d,d,a,a,b,NA,NA,b,a,j,b,d,a,e
b,c,b,d,h,d,NA,b,NA,NA,a,b,k,b,e,c,b
b,c,b,d,c,b,d,a,b,a,b,a,NA,b,d,d,e
b,c,b,e,d,d,NA,b,NA,NA,a,a,f,a,c,b,e
b,c,b,b,c,c,c,a,d,b,a,b,k,b,c,b,b
b,c,b,e,d,c,NA,b,NA,NA,a,b,f,a,e,d,f
b,c,b,a,g,d,b,a,d,a,b,a,m,b,d,d,c
b,c,b,e,g,c,c,b,NA,NA,b,a,f,b,d,b,d
b,c,b,d,g,d,b,a,d,a,b,a,m,a,e,d,d
b,c,b,e,g,d,NA,b,NA,NA,b,a,t,b,e,d,f
b,c,b,e,d,d,b,a,d,d,b,a,f,b,d,b,c
b,c,b,b,e,d,a,a,b,c,a,a,j,a,c,c,e
b,c,b,c,e,d,d,a,d,d,a,a,f,b,e,c,b
b,c,b,b,d,d,b,b,NA,NA,a,a,f,b,c,b,b
b,c,b,a,e,d,b,b,NA,NA,b,a,f,b,d,d,f
b,c,b,a,e,d,b,b,NA,NA,b,a,f,b,d,d,f
b,c,b,a,e,d,b,b,NA,NA,b,b,f,b,d,d,f
b,c,b,a,g,d,c,a,b,a,a,a,k,a,b,c,a
b,c,b,e,g,d,b,a,d,d,b,a,f,a,c,c,c
b,c,b,a,a,d,b,b,NA,NA,a,a,f,a,e,b,e
b,c,b,a,a,c,a,a,b,a,a,b,f,b,c,b,a
b,c,b,e,i,d,NA,b,NA,NA,a,b,f,b,e,d,d
b,c,b,e,d,b,c,a,c,c,a,b,d,b,c,b,c
b,c,b,e,d,d,c,a,c,a,b,a,b,a,c,b,f
b,c,b,e,a,d,c,b,NA,NA,b,a,f,a,c,d,b
b,c,b,b,a,c,c,b,NA,b,b,NA,a,NA,d,d,d
b,c,b,b,a,c,c,a,c,b,b,NA,a,a,d,d,d
b,c,b,b,a,c,c,b,NA,b,b,NA,a,NA,d,d,d
b,c,b,b,a,c,c,a,c,b,b,NA,a,a,d,d,d
b,c,b,b,a,c,c,b,NA,b,b,NA,a,NA,d,d,d
b,c,b,b,a,c,c,a,c,b,b,NA,a,a,d,d,d
b,d,a,e,h,d,c,b,NA,NA,b,a,f,b,c,c,f
b,d,a,a,c,d,NA,b,NA,NA,a,a,f,a,e,d,a
b,d,a,d,c,d,NA,a,d,a,b,a,f,b,d,b,f
b,d,a,e,g,c,d,a,d,a,a,a,m,b,d,b,d
b,d,a,e,g,c,d,a,d,a,a,a,m,b,e,c,f
b,d,a,d,g,d,a,a,b,d,a,a,f,b,e,b,f
b,d,a,a,f,d,b,a,a,c,b,a,f,b,e,d,f
b,d,a,a,b,a,d,b,NA,NA,a,a,d,b,b,c,e
b,d,a,a,g,d,NA,b,NA,NA,a,a,m,b,c,d,e
b,d,a,c,c,c,c,b,NA,NA,b,a,NA,a,e,a,a
b,d,a,a,d,d,NA,a,d,a,a,a,f,a,e,d,b
b,d,a,a,f,d,NA,b,NA,NA,b,a,f,b,b,d,b
b,d,a,a,h,d,NA,b,NA,NA,a,b,NA,b,d,b,g
b,d,a,e,d,d,NA,b,NA,NA,a,a,a,b,c,d,d
b,d,a,b,g,d,NA,a,d,a,a,a,f,b,d,NA,d
b,d,a,b,d,d,b,a,a,d,a,b,d,b,c,c,e
b,d,a,a,h,d,b,a,c,d,a,a,f,b,e,b,a
b,d,a,d,d,d,NA,a,b,a,a,a,f,b,d,c,e
b,d,a,a,g,d,NA,b,d,NA,a,a,m,b,d,b,f
b,d,a,d,e,d,NA,a,d,d,a,a,j,b,d,c,f
b,d,a,a,d,c,c,a,a,a,a,a,k,b,e,b,a
b,d,a,e,g,d,d,b,NA,NA,b,a,f,b,e,c,f
b,d,a,a,h,d,b,a,d,d,a,NA,d,b,a,c,a
b,d,a,d,e,d,d,a,b,c,a,a,k,b,d,b,e
b,d,a,c,e,d,d,a,d,d,b,a,f,b,e,c,a
b,d,a,c,e,d,b,a,d,d,a,a,f,b,e,c,a
b,d,a,d,e,c,b,a,d,d,a,b,f,b,d,d,f
b,d,a,b,e,d,a,a,c,d,a,a,f,b,e,c,f
b,d,a,c,d,d,b,a,d,d,a,a,f,b,d,c,a
b,d,a,a,e,NA,b,a,NA,NA,a,a,f,b,e,c,d
b,d,a,b,c,a,c,b,NA,NA,b,a,k,b,e,a,e
b,d,a,a,h,d,a,b,NA,NA,a,a,j,b,d,d,d
b,d,a,e,a,d,NA,a,c,a,a,a,k,b,e,b,g
b,d,a,a,a,b,b,a,d,d,b,a,f,b,e,c,a
b,d,a,a,a,d,NA,a,b,a,a,b,b,b,a,a,b
b,d,a,a,e,a,d,a,b,a,a,a,b,b,b,a,a
b,d,a,a,a,b,b,a,d,a,a,a,k,b,c,d,b
b,d,a,c,e,d,d,a,d,d,a,a,f,b,e,c,a
b,d,a,c,d,d,c,b,NA,NA,a,a,f,b,e,b,e
b,d,a,a,h,d,b,a,d,d,b,a,c,b,a,c,c
b,d,a,a,g,d,b,b,NA,NA,a,b,c,a,e,c,b
b,d,a,a,d,c,c,a,d,c,b,a,k,b,c,b,b
b,d,a,b,c,d,a,b,NA,NA,b,a,f,b,d,d,g
b,d,a,d,d,d,NA,a,b,c,a,a,f,b,e,a,a
b,d,a,e,c,d,NA,b,NA,NA,a,b,f,a,d,b,e
b,d,a,b,d,d,b,a,d,a,a,b,j,b,f,d,d
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,a,b,d,d,b,a,d,a,a,b,j,b,f,d,d
b,d,a,b,d,d,b,a,d,a,a,b,j,b,f,d,d
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,a,b,d,d,b,a,d,a,a,b,j,b,f,d,d
b,d,a,b,d,d,b,a,d,a,a,b,j,b,f,d,d
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,a,e,d,c,c,a,c,d,a,a,g,a,a,d,g
b,d,b,e,a,c,c,b,NA,NA,b,a,j,b,e,d,f
b,d,b,e,h,c,b,a,b,a,a,b,f,b,b,a,d
b,d,b,a,e,d,c,a,d,d,b,a,m,b,e,d,f
b,d,b,d,g,d,d,b,NA,NA,a,b,k,b,c,b,d
b,d,b,b,e,d,b,b,NA,NA,b,a,i,b,c,d,f
b,d,b,d,c,c,a,a,c,a,a,b,f,b,d,a,c
b,d,b,b,e,d,b,a,c,a,b,a,f,b,c,d,f
b,d,b,d,c,d,NA,a,c,a,b,a,k,b,c,a,c
b,d,b,e,d,d,NA,a,d,d,a,a,f,a,e,d,a
b,d,b,d,c,d,b,b,NA,NA,b,a,b,a,d,b,a
b,d,b,d,c,d,NA,b,NA,NA,a,a,j,b,d,d,d
b,d,b,e,g,d,d,b,NA,NA,a,b,f,b,c,d,a
b,d,b,a,g,d,NA,d,NA,NA,a,b,j,b,c,a,d
b,d,b,a,g,d,b,a,a,d,b,a,t,b,e,c,f
b,d,b,a,e,d,b,a,a,c,b,a,NA,b,e,d,f
b,d,b,b,i,c,b,b,NA,NA,a,a,NA,b,f,a,f
b,d,b,e,c,d,b,a,d,a,a,a,m,a,d,b,e
b,d,b,d,i,d,NA,b,NA,NA,b,a,j,a,c,c,b
b,d,b,a,e,d,d,a,c,d,a,a,m,b,e,b,a
b,d,b,d,e,d,d,a,d,a,a,a,m,b,b,a,f
b,d,b,b,e,d,NA,a,d,a,b,a,f,b,e,b,b
b,d,b,a,e,d,NA,a,c,a,a,b,b,b,e,b,f
b,d,b,a,f,b,b,a,b,d,a,a,f,b,c,c,g
b,d,b,e,d,d,NA,a,b,a,b,a,f,b,c,d,a
b,d,b,e,d,d,d,a,c,d,b,a,f,b,f,c,d
b,d,b,e,d,d,b,a,c,d,b,a,f,b,d,d,a
b,d,b,a,h,d,c,a,c,b,b,a,b,b,d,b,d
b,d,b,e,e,d,NA,a,d,a,b,b,m,b,e,d,b
b,d,b,a,h,d,NA,a,a,d,a,a,n,a,d,d,b
b,d,b,b,e,d,NA,b,NA,b,a,a,m,b,e,b,b
b,d,b,e,d,d,NA,b,NA,NA,a,b,f,b,e,d,c
b,d,b,c,e,d,b,a,a,a,a,a,f,b,e,b,f
b,d,b,e,a,a,c,b,NA,NA,a,a,f,b,b,c,b
b,d,b,e,d,d,b,b,NA,NA,a,a,f,a,c,c,f
b,d,b,c,e,d,b,a,a,a,a,a,j,b,NA,a,f
b,d,b,a,h,d,NA,b,NA,NA,a,a,m,b,d,c,b
b,d,b,e,h,d,a,b,NA,NA,a,a,j,b,d,b,b
b,d,b,c,e,d,b,a,a,a,a,a,f,b,e,b,f
b,d,b,e,a,a,c,b,NA,NA,a,a,NA,b,b,c,b
b,d,b,a,e,d,b,a,a,a,a,a,i,b,e,c,f
b,d,b,c,e,d,b,a,a,d,a,a,j,a,e,b,f
b,d,b,e,d,d,NA,b,NA,NA,b,a,a,b,e,d,c
b,d,b,e,d,d,NA,b,NA,NA,a,a,a,b,e,d,d
b,d,b,e,a,a,c,b,NA,NA,a,a,f,b,b,c,b
b,d,b,c,e,d,b,a,a,a,a,a,f,b,e,b,f
b,d,b,a,a,a,b,a,a,a,b,a,f,a,e,c,d
b,d,b,d,h,a,b,a,b,a,b,a,f,b,e,c,d
b,d,b,e,h,d,NA,b,NA,NA,a,b,m,a,d,d,d
b,e,a,e,f,d,NA,b,d,NA,a,a,j,b,b,b,b
b,e,a,b,e,d,NA,a,b,d,a,a,NA,b,e,d,a
b,e,a,d,e,c,b,b,NA,NA,a,a,j,b,e,c,a
b,e,a,a,h,d,NA,a,d,a,a,b,m,b,d,d,f
b,e,a,b,e,d,c,a,c,d,a,a,f,b,e,b,e
b,e,a,b,e,d,a,a,c,d,a,a,f,b,f,b,e
b,e,a,b,e,d,a,a,c,d,a,a,f,b,e,b,e
b,e,a,a,h,d,a,d,d,b,a,b,c,b,a,c,c
b,e,a,b,e,d,a,a,c,d,a,a,f,b,e,b,e
b,e,b,e,f,c,NA,a,c,a,a,a,k,b,b,b,g
b,e,b,e,f,c,c,a,c,a,a,b,k,a,c,b,d
b,e,b,e,c,d,NA,b,NA,NA,b,a,f,NA,b,b,d
b,e,b,e,i,d,b,b,NA,NA,b,a,b,a,e,b,b
b,e,b,c,c,c,b,b,NA,NA,a,a,h,b,d,b,a
b,e,b,b,e,d,a,a,c,d,a,a,f,b,e,b,e
b,e,b,e,c,d,b,b,NA,NA,b,b,f,b,e,d,e
b,e,b,a,e,d,b,b,d,d,b,NA,f,b,a,c,e
b,e,b,a,g,c,b,a,d,b,a,b,d,a,d,d,d
b,e,b,a,g,c,b,a,d,b,a,b,d,a,d,d,d
b,e,b,d,e,d,NA,a,a,d,a,a,j,b,e,c,a
b,d,a,a,b,b,b,a,c,d,a,b,f,b,d,d,a